RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
405;2934;8;cam data : 4;2930;59;25
406;2958;-1;cam data : 1;2954;71;52
407;2958;0;cam data : 1;2954;71;52
408;2958;2;cam data : 1;2954;71;52
409;2958;3;cam data : 1;2954;71;52
410;2958;4;cam data : 1;2954;71;52
411;2958;5;cam data : 1;2954;71;52
412;2958;6;cam data : 1;2954;71;52
413;2958;7;cam data : 1;2954;71;52
414;2958;8;cam data : 1;2954;71;52
415;2967;-1;cam data : 3;2963;17;55
416;2967;0;cam data : 3;2963;17;55
417;2967;1;cam data : 3;2963;17;55
418;2967;2;cam data : 3;2963;17;55
419;2967;4;cam data : 3;2963;17;55
420;2967;5;cam data : 3;2963;17;55
421;2967;6;cam data : 3;2963;17;55
422;2967;7;cam data : 3;2963;17;55
423;2967;8;cam data : 3;2963;17;55
424;2977;-1;cam data : 7;2973;42;76
425;2977;0;cam data : 7;2973;42;76
426;2977;1;cam data : 7;2973;42;76
427;2977;2;cam data : 7;2973;42;76
428;2977;3;cam data : 7;2973;42;76
429;2977;4;cam data : 7;2973;42;76
430;2977;5;cam data : 7;2973;42;76
431;2977;6;cam data : 7;2973;42;76
432;2977;8;cam data : 7;2973;42;76
433;2979;-1;cam data : 2;2975;5;26
434;2979;0;cam data : 2;2975;5;26
435;2979;1;cam data : 2;2975;5;26
436;2979;3;cam data : 2;2975;5;26
437;2979;4;cam data : 2;2975;5;26
438;2979;5;cam data : 2;2975;5;26
439;2979;6;cam data : 2;2975;5;26
440;2979;7;cam data : 2;2975;5;26
441;2979;8;cam data : 2;2975;5;26
442;2982;-1;cam data : 5;2978;31;25
443;2982;0;cam data : 5;2978;31;25
444;2982;1;cam data : 5;2978;31;25
445;2982;2;cam data : 5;2978;31;25
446;2982;3;cam data : 5;2978;31;25
447;2982;4;cam data : 5;2978;31;25
448;2982;6;cam data : 5;2978;31;25
449;2982;7;cam data : 5;2978;31;25
450;2982;8;cam data : 5;2978;31;25
451;2993;-1;cam data : 6;2989;78;15
452;2993;0;cam data : 6;2989;78;15
453;2993;1;cam data : 6;2989;78;15
454;2993;2;cam data : 6;2989;78;15
455;2993;3;cam data : 6;2989;78;15
456;2993;4;cam data : 6;2989;78;15
457;2993;5;cam data : 6;2989;78;15
458;2993;7;cam data : 6;2989;78;15
459;2993;8;cam data : 6;2989;78;15
460;2997;-1;cam data : 8;2993;86;96
461;2997;0;cam data : 8;2993;86;96
