TxPackets;TxTime;TxId;xPos;yPos
5598;8415;4;59;25
5607;8417;2;5;26
5616;8428;7;42;76
5625;8432;8;86;96
5634;8438;-1;66;72
5643;8449;0;65;54
5652;8457;3;17;55
5661;8479;6;78;15
5670;8511;5;31;25
5679;8513;1;71;52
5688;8515;4;59;25
5697;8517;2;5;26
5706;8528;7;42;76
5715;8532;8;86;96
5724;8538;-1;66;72
5733;8549;0;65;54
5742;8557;3;17;55
5751;8579;6;78;15
5760;8603;4;59;25
5769;8607;6;78;15
5778;8611;5;31;25
5787;8613;1;71;52
5796;8617;2;5;26
5805;8628;7;42;76
5814;8632;8;86;96
5823;8638;-1;66;72
5832;8649;0;65;54
5841;8657;3;17;55
5850;8703;4;59;25
5859;8707;6;78;15
5868;8711;5;31;25
5877;8713;1;71;52
5886;8717;2;5;26
5895;8728;7;42;76
5904;8732;8;86;96
5913;8738;-1;66;72
5922;8749;0;65;54
5931;8757;3;17;55
5940;8792;-1;66;72
5949;8803;4;59;25
5958;8807;6;78;15
5967;8811;5;31;25
5976;8813;1;71;52
5985;8817;2;5;26
5994;8828;7;42;76
6003;8832;8;86;96
6012;8849;0;65;54
6021;8857;3;17;55
6030;8892;-1;66;72
6039;8903;4;59;25
6048;8907;6;78;15
6057;8911;5;31;25
6066;8913;1;71;52
6075;8917;2;5;26
6084;8928;7;42;76
6093;8932;8;86;96
6102;8949;0;65;54
6111;8957;3;17;55
6120;8992;-1;66;72
6129;9003;4;59;25
6138;9007;6;78;15
6147;9011;5;31;25
6156;9013;1;71;52
6165;9017;2;5;26
6174;9028;7;42;76
6183;9032;8;86;96
6192;9049;0;65;54
6201;9057;3;17;55
6210;9092;-1;66;72
6219;9103;4;59;25
6228;9107;6;78;15
6237;9111;5;31;25
6246;9113;1;71;52
6255;9117;2;5;26
6264;9128;7;42;76
6273;9132;8;86;96
6282;9149;0;65;54
6291;9157;3;17;55
6300;9158;8;86;96
6309;9162;1;71;52
6318;9192;-1;66;72
6327;9203;4;59;25
6336;9207;6;78;15
6345;9211;5;31;25
6354;9217;2;5;26
6363;9228;7;42;76
6372;9249;0;65;54
6381;9257;3;17;55
6390;9258;8;86;96
6399;9262;1;71;52
6408;9282;4;59;25
6417;9292;-1;66;72
6426;9307;6;78;15
6435;9311;5;31;25
6444;9317;2;5;26
6453;9328;7;42;76
6462;9341;3;17;55
6471;9349;0;65;54
6480;9358;8;86;96
6489;9362;1;71;52
6498;9382;4;59;25
6507;9385;2;5;26
6516;9392;-1;66;72
6525;9407;6;78;15
6534;9411;5;31;25
6543;9428;7;42;76
6552;9441;3;17;55
6561;9449;0;65;54
6570;9458;8;86;96
6579;9462;1;71;52
6588;9482;4;59;25
6597;9485;2;5;26
6606;9492;-1;66;72
6615;9507;6;78;15
6624;9511;5;31;25
6633;9528;7;42;76
6642;9541;3;17;55
6651;9549;0;65;54
6660;9558;8;86;96
6669;9562;1;71;52
6678;9582;4;59;25
6687;9585;2;5;26
6696;9592;-1;66;72
6705;9596;5;31;25
6714;9607;6;78;15
6723;9628;7;42;76
6732;9641;3;17;55
6741;9646;7;42;76
6750;9649;0;65;54
6759;9658;8;86;96
6768;9662;1;71;52
6777;9667;0;65;54
6786;9682;4;59;25
6795;9685;2;5;26
6804;9692;-1;66;72
6813;9696;5;31;25
6822;9707;6;78;15
6831;9719;6;78;15
6840;9741;3;17;55
6849;9746;7;42;76
6858;9758;8;86;96
6867;9762;1;71;52
6876;9767;0;65;54
6885;9782;4;59;25
6894;9785;2;5;26
6903;9792;-1;66;72
6912;9796;5;31;25
6921;9819;6;78;15
6930;9841;3;17;55
6939;9846;7;42;76
6948;9857;2;5;26
6957;9858;8;86;96
6966;9862;1;71;52
6975;9867;0;65;54
6984;9882;4;59;25
6993;9892;-1;66;72
7002;9896;5;31;25
7011;9919;6;78;15
7020;9941;3;17;55
7029;9946;7;42;76
7038;9957;2;5;26
7047;9958;8;86;96
7056;9962;1;71;52
7065;9967;0;65;54
7074;9982;4;59;25
7083;9992;-1;66;72
7092;9996;5;31;25
7101;10019;6;78;15
7110;10041;3;17;55
7119;10046;7;42;76
7128;10057;2;5;26
7137;10058;8;86;96
7146;10062;1;71;52
7155;10067;0;65;54
7164;10072;1;71;52
7173;10082;4;59;25
7182;10092;-1;66;72
7191;10093;7;42;76
7200;10096;5;31;25
7209;10119;6;78;15
7218;10141;3;17;55
7227;10157;2;5;26
7236;10158;8;86;96
7245;10167;0;65;54
7254;10172;1;71;52
7263;10179;-1;66;72
7272;10182;4;59;25
7281;10193;7;42;76
7290;10196;5;31;25
7299;10219;6;78;15
7308;10241;3;17;55
7317;10257;2;5;26
7326;10258;8;86;96
7335;10267;0;65;54
7344;10272;1;71;52
7353;10279;-1;66;72
7362;10282;4;59;25
7371;10291;8;86;96
7380;10293;7;42;76
7389;10296;5;31;25
7398;10319;6;78;15
7407;10341;3;17;55
7416;10357;2;5;26
7425;10367;0;65;54
7434;10368;5;31;25
7443;10372;1;71;52
7452;10379;-1;66;72
7461;10382;4;59;25
7470;10391;8;86;96
7479;10393;7;42;76
7488;10419;6;78;15
7497;10441;3;17;55
7506;10457;2;5;26
7515;10467;0;65;54
7524;10468;5;31;25
7533;10472;1;71;52
7542;10479;-1;66;72
7551;10482;4;59;25
7560;10491;8;86;96
7569;10493;7;42;76
7578;10519;6;78;15
7587;10541;3;17;55
7596;10557;2;5;26
7605;10567;0;65;54
7614;10568;5;31;25
7623;10572;1;71;52
7632;10579;-1;66;72
7641;10582;4;59;25
7650;10591;8;86;96
7659;10593;7;42;76
7668;10614;0;65;54
7677;10615;6;78;15
7686;10631;3;17;55
7695;10657;2;5;26
7704;10668;5;31;25
7713;10672;1;71;52
7722;10679;-1;66;72
7731;10682;4;59;25
7740;10691;8;86;96
7749;10693;7;42;76
7758;10714;0;65;54
7767;10715;6;78;15
7776;10719;4;59;25
7785;10731;3;17;55
7794;10738;7;42;76
7803;10757;2;5;26
7812;10768;5;31;25
7821;10772;1;71;52
7830;10779;-1;66;72
7839;10791;8;86;96
7848;10814;0;65;54
7857;10815;6;78;15
7866;10819;4;59;25
7875;10831;3;17;55
7884;10838;7;42;76
7893;10856;8;86;96
7902;10857;2;5;26
7911;10868;5;31;25
7920;10872;1;71;52
7929;10875;2;5;26
7938;10879;-1;66;72
7947;10914;0;65;54
7956;10915;6;78;15
7965;10919;4;59;25
7974;10931;3;17;55
7983;10938;7;42;76
7992;10956;8;86;96
8001;10968;5;31;25
8010;10972;1;71;52
8019;10975;2;5;26
8028;10979;-1;66;72
8037;11014;0;65;54
8046;11015;6;78;15
8055;11019;4;59;25
8064;11031;3;17;55
8073;11038;7;42;76
8082;11039;0;65;54
8091;11056;8;86;96
8100;11068;5;31;25
8109;11072;1;71;52
8118;11075;2;5;26
8127;11079;-1;66;72
8136;11115;6;78;15
8145;11119;4;59;25
8154;11131;3;17;55
8163;11138;7;42;76
8172;11139;0;65;54
8181;11156;8;86;96
8190;11164;5;31;25
8199;11172;1;71;52
8208;11175;2;5;26
8217;11179;-1;66;72
8226;11215;6;78;15
8235;11219;4;59;25
8244;11231;3;17;55
8253;11238;7;42;76
8262;11239;0;65;54
8271;11256;8;86;96
8280;11264;5;31;25
8289;11272;1;71;52
8298;11275;2;5;26
8307;11279;-1;66;72
8316;11315;6;78;15
8325;11319;4;59;25
8334;11331;3;17;55
8343;11338;7;42;76
8352;11339;0;65;54
8361;11343;-1;66;72
8370;11356;8;86;96
8379;11364;5;31;25
8388;11372;1;71;52
8397;11375;2;5;26
8406;11415;6;78;15
8415;11419;4;59;25
8424;11431;3;17;55
8433;11437;1;71;52
8442;11438;7;42;76
8451;11439;0;65;54
8460;11443;-1;66;72
8469;11456;8;86;96
8478;11464;5;31;25
8487;11475;2;5;26
8496;11515;6;78;15
8505;11519;4;59;25
8514;11531;3;17;55
8523;11537;1;71;52
8532;11538;7;42;76
8541;11539;0;65;54
8550;11543;-1;66;72
8559;11556;8;86;96
8568;11564;5;31;25
8577;11575;2;5;26
8586;11615;6;78;15
8595;11619;4;59;25
8604;11627;7;42;76
8613;11631;3;17;55
8622;11637;1;71;52
8631;11639;0;65;54
8640;11643;-1;66;72
8649;11656;8;86;96
8658;11664;5;31;25
8667;11675;2;5;26
8676;11692;2;5;26
8685;11702;8;86;96
8694;11715;6;78;15
8703;11719;4;59;25
8712;11727;7;42;76
8721;11731;3;17;55
8730;11737;1;71;52
8739;11739;0;65;54
8748;11743;-1;66;72
8757;11764;5;31;25
8766;11792;2;5;26
8775;11802;8;86;96
8784;11815;6;78;15
8793;11819;4;59;25
8802;11827;7;42;76
8811;11831;3;17;55
8820;11837;1;71;52
8829;11839;0;65;54
8838;11843;-1;66;72
8847;11864;5;31;25
8856;11892;2;5;26
8865;11898;6;78;15
8874;11902;8;86;96
8883;11919;4;59;25
8892;11927;7;42;76
8901;11931;3;17;55
8910;11937;1;71;52
8919;11939;0;65;54
8928;11943;-1;66;72
8937;11947;3;17;55
8946;11964;5;31;25
8955;11992;2;5;26
8964;11998;6;78;15
8973;12002;8;86;96
8982;12015;4;59;25
8991;12027;7;42;76
9000;12037;1;71;52
9009;12039;0;65;54
